Iteration,Stagnation counter,Current Loss,Best Global Loss,Temperature,Mutation type,Accepted,Local improvement,Global improvement,Stagnated,mutateStrokes time,render time,computeLoss time,minimizeColorError time,Iteration Time
0,0,0.0584869,0.0584869,inf,move,1,0,143,0,52,2549,65,0,3772
1,1,0.0585197,0.0584869,inf,rotate,1,1,143,0,36,2541,66,0,2746
2,2,0.058504,0.0584869,0.0014427,move,1,0,143,0,16,2551,65,0,2704
3,3,0.0585048,0.0584869,0.000910239,rotate,1,1,1,0,31,2564,65,0,2866
4,0,0.0571464,0.0571464,0.000721348,rotate,1,0,1,0,21,2571,68,0,2734
5,1,0.0571465,0.0571464,0.000621335,rotate,1,0,1,0,19,2575,66,0,2748
6,2,0.0571468,0.0571464,0.000558111,change_color,1,0,1,0,1,2564,65,0,2702
7,3,0.0571755,0.0571464,0.000513898,rotate,1,0,1,0,31,2557,66,0,2738
8,4,0.058146,0.0571464,0.000480898,rotate,0,0,1,0,27,2534,65,0,2765
9,5,0.058146,0.0571464,0.00045512,swap_strokes,1,0,1,0,1,2565,65,0,2710
10,6,0.0581952,0.0571464,0.000434294,change_color,1,0,1,0,0,2545,66,0,2682
11,7,0.0582057,0.0571464,0.000417032,swap_strokes,1,1,1,0,0,2536,70,0,2787
12,0,0.0570923,0.0570923,0.00040243,rotate,1,0,1,0,23,2548,65,0,2708
13,1,0.0574167,0.0570923,0.000389871,move,1,1,1,0,27,2553,65,0,2714
14,2,0.0574115,0.0570923,0.000378923,move,1,1,1,0,37,2570,65,0,2750
15,3,0.0574113,0.0570923,0.000369269,move,1,1,1,0,27,2546,69,0,2850
16,0,0.0567351,0.0567351,0.000360674,resize,1,0,1,0,29,2552,81,0,2737
17,1,0.0569679,0.0567351,0.000352956,swap_strokes,0,0,1,0,1,2676,65,0,2946
18,2,0.0569679,0.0567351,0.000345976,swap_strokes,1,0,1,0,1,2554,66,0,2727
19,3,0.0569875,0.0567351,0.000339623,move,1,0,1,0,22,2586,65,0,2794
20,4,0.0569878,0.0567351,0.000333808,rotate,0,0,1,0,29,2551,65,0,2843
21,5,0.0569878,0.0567351,0.000328459,rotate,1,1,1,0,26,2638,72,0,2832
22,6,0.0569875,0.0567351,0.000323515,rotate,1,1,1,0,30,2544,65,0,2949
23,0,0.0567187,0.0567187,0.000318929,move,0,1,1,0,33,2540,65,0,2813
24,1,0.0567187,0.0567187,0.000314658,move,0,1,1,0,28,2550,65,0,2782
25,2,0.0567187,0.0567187,0.000310667,swap_strokes,0,1,1,0,1,2667,65,0,2913
26,3,0.0567187,0.0567187,0.000306928,move,1,1,1,0,29,2564,65,0,2964
27,0,0.0567174,0.0567174,0.000303413,move,0,1,1,0,69,2594,65,0,3053
28,1,0.0567174,0.0567174,0.000300102,move,1,0,1,0,23,2718,67,0,2889
29,2,0.0567293,0.0567174,0.000296974,rotate,0,0,1,0,34,2837,66,0,3210
30,3,0.0567293,0.0567174,0.000294014,move,1,1,1,0,36,2555,65,0,2903
31,0,0.0563434,0.0563434,0.000291207,rotate,1,0,1,0,35,2554,65,0,2749
32,1,0.0563651,0.0563434,0.000288539,move,1,0,1,0,18,2534,71,0,2697
33,2,0.0563701,0.0563434,0.000286,rotate,1,1,1,0,30,3224,65,0,3396
34,3,0.0563698,0.0563434,0.000283578,swap_strokes,1,1,1,0,3,3350,72,0,3600
35,4,0.056369,0.0563434,0.000281266,rotate,0,1,1,0,28,2601,65,0,2977
36,5,0.056369,0.0563434,0.000279055,move,0,1,1,0,31,2535,65,0,2777
37,6,0.056369,0.0563434,0.000276938,resize,1,1,1,0,23,2558,65,0,2719
38,7,0.0563687,0.0563434,0.000274908,move,1,1,1,0,38,2560,65,0,2791
39,8,0.0563681,0.0563434,0.000272958,swap_strokes,1,1,1,0,1,2534,69,0,2849
40,0,0.0562751,0.0562751,0.000271085,move,1,0,1,0,36,2542,65,0,2723
41,1,0.0565852,0.0562751,0.000269283,rotate,1,0,1,0,22,2597,65,0,2756
42,2,0.0565885,0.0562751,0.000267546,swap_strokes,1,0,1,0,1,2583,66,0,2725
43,3,0.0565885,0.0562751,0.000265873,rotate,1,1,1,0,29,2550,65,0,2732
44,4,0.0565871,0.0562751,0.000264257,swap_strokes,0,1,1,0,0,2567,65,0,2791
45,5,0.0565871,0.0562751,0.000262697,resize,1,0,1,0,61,2543,65,0,2742
46,6,0.0565871,0.0562751,0.000261189,swap_strokes,0,0,1,0,0,2579,65,0,2789
47,7,0.0565871,0.0562751,0.00025973,move,0,0,1,0,28,2586,65,0,2842
48,8,0.0565871,0.0562751,0.000258318,swap_strokes,1,0,1,0,1,2534,65,0,2675
49,9,0.0565891,0.0562751,0.000256949,resize,1,1,1,0,20,2536,65,0,2696
50,10,0.0565797,0.0562751,0.000255622,rotate,0,1,1,0,24,2597,65,0,2830
51,11,0.0565797,0.0562751,0.000254335,rotate,1,0,1,0,27,2558,65,0,2723
52,12,0.0565886,0.0562751,0.000253085,swap_strokes,1,0,1,0,0,2537,66,0,2684
53,13,0.0568764,0.0562751,0.000251871,change_color,1,0,1,0,1,2582,65,0,2725
54,14,0.0569027,0.0562751,0.00025069,move,1,0,1,0,23,2550,65,0,2712
55,15,0.0569029,0.0562751,0.000249543,rotate,1,1,1,0,27,2533,82,0,2711
56,16,0.0568929,0.0562751,0.000248426,rotate,1,1,1,0,25,2537,65,0,2697
57,17,0.0568901,0.0562751,0.000247338,resize,1,0,1,0,53,2551,65,0,2756
58,18,0.056894,0.0562751,0.000246279,move,1,0,1,0,26,2541,65,0,2706
59,19,0.0568991,0.0562751,0.000245246,move,0,0,1,0,25,2547,66,0,2784
60,20,0.0568991,0.0562751,0.000244239,swap_strokes,1,0,1,0,1,2534,65,0,2672
61,21,0.0570183,0.0562751,0.000243257,rotate,0,0,1,0,26,2575,65,0,2822
62,22,0.0570183,0.0562751,0.000242299,move,0,0,1,0,28,2540,65,0,2796
63,23,0.0570183,0.0562751,0.000241363,swap_strokes,0,0,1,0,1,2547,77,0,2771
64,24,0.0570183,0.0562751,0.000240449,move,1,0,1,0,21,2546,65,0,2704
65,25,0.0570235,0.0562751,0.000239556,move,1,0,1,0,26,2540,65,0,2702
66,26,0.0570386,0.0562751,0.000238683,move,1,0,1,0,19,2630,65,0,2787
67,27,0.0570633,0.0562751,0.00023783,move,1,1,1,0,33,2540,77,0,2759
68,28,0.0570624,0.0562751,0.000236994,move,1,0,1,0,28,2541,65,0,2715
69,29,0.0571014,0.0562751,0.000236177,resize,1,0,1,0,13,2576,65,0,2725
70,30,0.0571014,0.0562751,0.000235377,rotate,1,1,1,0,22,2542,65,0,2849
71,0,0.055765,0.055765,0.000234594,move,0,1,1,0,28,2539,69,0,2792
72,1,0.055765,0.055765,0.000233827,rotate,1,0,1,0,25,2547,66,0,2712
73,2,0.0557778,0.055765,0.000233075,resize,1,1,1,0,41,2538,66,0,2716
74,3,0.0557775,0.055765,0.000232338,resize,1,1,1,0,49,2541,65,0,2726
75,4,0.055773,0.055765,0.000231616,move,1,0,1,0,24,2552,70,0,2719
76,5,0.0558746,0.055765,0.000230908,move,0,0,1,0,23,2588,65,0,2838
77,6,0.0558746,0.055765,0.000230213,change_color,1,0,1,0,1,2554,65,0,2695
78,7,0.0559892,0.055765,0.000229531,move,0,0,1,0,27,2586,65,0,2820
79,8,0.0559892,0.055765,0.000228862,move,1,0,1,0,27,2589,65,0,2753
80,9,0.0559969,0.055765,0.000228205,rotate,1,0,1,0,25,2564,65,0,2760
81,10,0.0559972,0.055765,0.00022756,move,1,0,1,0,30,2605,67,0,2861
82,11,0.0560094,0.055765,0.000226926,rotate,1,1,1,0,27,2789,65,0,3054
83,12,0.0559888,0.055765,0.000226304,move,0,1,1,0,37,2575,66,0,3038
84,13,0.0559888,0.055765,0.000225692,rotate,0,1,1,0,44,2565,66,0,2902
85,14,0.0559888,0.055765,0.000225091,swap_strokes,1,0,1,0,2,2870,66,0,3019
86,15,0.0559888,0.055765,0.0002245,swap_strokes,1,0,1,0,1,2888,96,0,3083
87,16,0.0559888,0.055765,0.000223919,move,1,1,1,0,24,3573,80,0,3883
88,17,0.0559868,0.055765,0.000223347,move,1,1,1,0,36,2873,66,0,3180
89,18,0.0559862,0.055765,0.000222785,swap_strokes,1,1,1,0,3,3835,91,0,4227
90,19,0.0559862,0.055765,0.000222232,swap_strokes,1,0,1,0,5,4065,90,0,4419
91,20,0.0559864,0.055765,0.000221687,move,1,0,1,0,39,2974,74,0,3361
92,21,0.0559872,0.055765,0.000221151,rotate,0,0,1,0,38,2551,65,0,3023
93,22,0.0559872,0.055765,0.000220624,rotate,1,0,1,0,43,2655,65,0,2874
94,23,0.0559887,0.055765,0.000220105,move,1,1,1,0,23,2667,66,0,2882
95,24,0.0559883,0.055765,0.000219593,swap_strokes,1,0,1,0,2,2547,65,0,2743
96,25,0.0559894,0.055765,0.000219089,rotate,0,0,1,0,37,3045,66,0,3353
97,26,0.0559894,0.055765,0.000218593,swap_strokes,1,1,1,0,1,2748,66,0,2906
98,27,0.0559583,0.055765,0.000218104,move,1,0,1,0,30,2550,65,0,2862
99,28,0.0560453,0.055765,0.000217622,change_color,1,0,1,0,1,2601,65,0,2843
100,29,0.0560455,0.055765,0.000217147,rotate,1,0,1,0,26,2686,65,0,2922
101,30,0.0564919,0.055765,0.000216679,rotate,1,0,1,0,28,2564,65,0,2774
102,31,0.0564936,0.055765,0.000216217,move,0,0,1,0,47,2593,73,0,2913
103,32,0.0564936,0.055765,0.000215762,resize,0,0,1,0,17,2537,66,0,2789
104,33,0.0564936,0.055765,0.000215313,resize,1,1,1,0,16,2640,75,0,2821
105,34,0.0564887,0.055765,0.000214871,resize,1,1,1,0,72,2561,66,0,2853
106,35,0.056487,0.055765,0.000214434,move,1,0,1,0,18,2542,66,0,2753
